"channel","quartile","avg_spend","avg_attr_revenue","avg_roas"
affiliate,1,915.7970879120879,3972.6120796818886,4.337873675421908
affiliate,2,1047.556923076923,4781.960375251136,4.564869239950593
affiliate,3,1152.5164835164835,5694.421208201916,4.9408587986763255
affiliate,4,1283.0393406593407,6399.7194437515745,4.987937034310129
display,1,1368.4741758241757,5975.318043043523,4.3664090624471115
display,2,1557.0452197802197,7050.893683625983,4.528380803623181
display,3,1724.926868131868,8535.368302835732,4.9482493782937675
display,4,1915.6935164835163,9555.234450531492,4.987872208322375
email,1,456.9052747252747,1997.7185400089681,4.372281631482903
email,2,520.190934065934,2348.569759126614,4.514822549423619
email,3,572.769010989011,2816.345424764729,4.917070181401212
email,4,640.2634065934066,3221.2385725546924,5.031114599682738
paid_search,1,2748.021263736264,12031.120945851299,4.3781032936745
paid_search,2,3146.2976923076926,14335.386553498638,4.556271515103888
paid_search,3,3475.359615384615,17023.18588510148,4.8982516254559
paid_search,4,3852.506923076923,19256.66585281773,4.998476638021924
paid_social,1,2294.1547252747255,9908.36174912454,4.318959676068933
paid_social,2,2612.9599450549454,11936.627780454548,4.568239862629637
paid_social,3,2896.8123626373626,14328.125512419148,4.9461696923214955
paid_social,4,3202.025,16001.392643878518,4.997272864477485
tv,1,1815.388131868132,7964.614007697882,4.38727887876069
tv,2,2078.0315384615383,9485.15656705486,4.564491150157016
tv,3,2305.0298351648353,11239.84574351557,4.87622570955217
tv,4,2563.7743406593404,12820.353523559188,5.000577983888435
